K,rho,dispersed,reps,mean_D,sd_D,A_hat_mean,share_at_zero,rse_realised,rse_bound,rse_closed_form,ratio
30,0.1,False,2000,0.010101,1.73472e-18,1.00233,0,0.263802,0.260807,0.260807,1.01148
30,0.3,False,2000,0.0989011,2.77556e-17,0.998488,0,0.284873,0.283735,0.283735,1.00401
30,0.5,False,2000,0.333333,1.11022e-16,1.00133,0,0.345751,0.344265,0.344265,1.00432
30,0.7,False,2000,0.960784,1.11022e-16,1.01335,0.008,0.509295,0.506272,0.506272,1.00597
30,0.9,False,2000,4.26316,1.77636e-15,1.17535,0.2525,1.19118,1.35894,1.35894,0.876551
100,0.1,False,2000,0.010101,1.73472e-18,1.00151,0,0.142018,0.14285,0.14285,0.994174
100,0.3,False,2000,0.0989011,2.77556e-17,1.00262,0,0.155826,0.155408,0.155408,1.00269
100,0.5,False,2000,0.333333,0,0.997968,0,0.182971,0.188562,0.188562,0.970352
100,0.7,False,2000,0.960784,2.22045e-16,1.00656,0,0.285609,0.277297,0.277297,1.02998
100,0.9,False,2000,4.26316,1.77636e-15,1.01807,0.083,0.708337,0.744323,0.744323,0.951652
250,0.1,False,2000,0.010101,0,1.00467,0,0.0903174,0.0903462,0.0903462,0.999681
250,0.3,False,2000,0.0989011,1.38778e-17,1.00029,0,0.0974763,0.0982887,0.0982887,0.991735
250,0.5,False,2000,0.333333,0,1.00087,0,0.120856,0.119257,0.119257,1.01341
250,0.7,False,2000,0.960784,2.22045e-16,1.0029,0,0.181474,0.175378,0.175378,1.03476
250,0.9,False,2000,4.26316,0,1.00519,0.0125,0.466624,0.470751,0.470751,0.991233
500,0.1,False,2000,0.010101,1.73472e-18,1.00029,0,0.062656,0.0638844,0.0638844,0.980772
500,0.3,False,2000,0.0989011,1.38778e-17,0.998455,0,0.0681599,0.0695006,0.0695006,0.980709
500,0.5,False,2000,0.333333,5.55112e-17,0.996451,0,0.0849482,0.0843274,0.0843274,1.00736
500,0.7,False,2000,0.960784,2.22045e-16,1.0048,0,0.127478,0.124011,0.124011,1.02796
500,0.9,False,2000,4.26316,0,1.00907,0,0.334229,0.332871,0.332871,1.00408
30,0.1,True,2000,0.010101,0.00602576,0.995638,0,0.265515,0.260793,0.260807,1.01811
30,0.3,True,2000,0.0989011,0.0789559,0.995407,0,0.281423,0.281778,0.283735,0.998741
30,0.5,True,2000,0.333333,0.280838,0.99656,0,0.334601,0.32806,0.344265,1.01994
30,0.7,True,2000,0.960784,0.707839,0.999045,0.0015,0.44531,0.433374,0.506272,1.02754
30,0.9,True,2000,4.26316,3.6992,1.03529,0.1325,0.874208,0.894161,1.35894,0.977685
100,0.1,True,2000,0.010101,0.0141708,0.998374,0,0.139621,0.142811,0.14285,0.977661
100,0.3,True,2000,0.0989011,0.102531,1.00691,0,0.153549,0.153804,0.155408,0.998339
100,0.5,True,2000,0.333333,0.26139,1.00229,0,0.186537,0.180882,0.188562,1.03126
100,0.7,True,2000,0.960784,0.812819,0.99382,0,0.236775,0.236573,0.277297,1.00085
100,0.9,True,2000,4.26316,4.41035,0.997717,0.01,0.46845,0.473162,0.744323,0.990041
250,0.1,True,2000,0.010101,0.00926214,1.00038,0,0.0898187,0.0903351,0.0903462,0.994284
250,0.3,True,2000,0.0989011,0.0838471,1.00101,0,0.0989439,0.0975628,0.0982887,1.01416
250,0.5,True,2000,0.333333,0.31412,1.00412,0,0.113332,0.113504,0.119257,0.998482
250,0.7,True,2000,0.960784,0.798535,1.00171,0,0.146893,0.149494,0.175378,0.982596
250,0.9,True,2000,4.26316,4.0365,1.01004,0,0.296889,0.288878,0.470751,1.02773
500,0.1,True,2000,0.010101,0.0100689,1.00068,0,0.0644909,0.0638752,0.0638844,1.00964
500,0.3,True,2000,0.0989011,0.0925457,1.00283,0,0.0696794,0.0689291,0.0695006,1.01089
500,0.5,True,2000,0.333333,0.331554,1.0015,0,0.0814596,0.0799939,0.0843274,1.01832
500,0.7,True,2000,0.960784,1.03365,1.00213,0,0.106878,0.104272,0.124011,1.02499
500,0.9,True,2000,4.26316,3.7243,1.01171,0,0.207542,0.207034,0.332871,1.00245
